source_ticker,ticker,asset_type,date,close,volume,ret_1d,ret_20d,ret_60d,ret_120d,ret_252d,ma_20,ma_50,ma_200,volatility_20d,volatility_60d,rolling_high_252d,rolling_low_252d,dist_from_52w_high,dist_from_52w_low,is_active,source
AAPL.US,AAPL,stock,2026-03-05,260.25,49543051.0,-0.008382549056963229,-0.058736301493724885,-0.06646818279647027,0.13247203087808468,0.1068533467162287,267.476,264.5546,243.73197500000003,0.018269713509381294,0.014575288095166512,286.19,171.832,-0.09063908592193992,0.514560733739932,True,sp500_core
ABBV.US,ABBV,stock,2026-03-05,232.35,9422886.0,-0.016258097294550966,0.0701948321127539,0.027733545647558255,0.055081282354009664,0.11835772044666926,227.85250000000002,225.00600000000003,213.32289999999998,0.015137042713352986,0.01599016082518356,244.38,170.16,-0.049226614289221704,0.3654795486600846,True,sp500_core
ABT.US,ABT,stock,2026-03-05,111.04,8008906.0,-0.018213969938107755,0.026247689463955615,-0.11224816117684677,-0.1629099133056917,-0.19290594563163255,113.00300000000001,116.69779999999999,126.99815000000001,0.012372660658289918,0.017362527894257282,138.08,106.05,-0.19582850521436856,0.04705327675624704,True,sp500_core
ACN.US,ACN,stock,2026-03-05,214.0,7438777.0,0.01904761904761898,-0.1144216842540865,-0.1972692148992835,-0.12348965799713296,-0.3811093759037538,217.38299999999998,250.3492,262.92335,0.0330712392694398,0.0268971309409677,348.26,191.5,-0.3855165680813185,0.11749347258485643,True,sp500_core
ADBE.US,ADBE,stock,2026-03-05,281.74,5810253.0,0.031863463228830824,0.00725751671373942,-0.18633396869404484,-0.19629154186278708,-0.36833845257045483,263.10695,296.11478000000005,343.73389499999996,0.02232215578258104,0.021348903447461324,451.24,246.68,-0.3756315929438879,0.14212745257013126,True,sp500_core
AGG.US,AGG,etf,2026-03-05,100.25,8741447.0,-0.0027852382373421136,0.006122039341629915,0.002199340197940547,-0.0037762098777700537,0.013547669598624967,100.7095,100.2956,99.6338,0.0026476861184310243,0.0021552992658786436,101.4,96.82,-0.01134122287968442,0.035426564759347245,True,etf_core
AMD.US,AMD,stock,2026-03-05,199.45,35880018.0,-0.012770380636539236,-0.0036964883360807166,-0.0849658209845392,0.28123594783837613,0.9796526054590569,204.01749999999998,218.0562,188.22594999999998,0.03764859531706987,0.038946016823915075,264.33,78.21,-0.24545076230469487,1.550185398286664,True,sp500_core
AMZN.US,AMZN,stock,2026-03-05,218.86,60825291.0,0.009408726132275724,-0.06064637967294728,-0.046486298087395905,-0.04822787562513575,0.07389597644749757,208.358,225.68619999999999,224.4479,0.022552754517915805,0.018067916566869978,254.0,167.32,-0.13834645669291334,0.308032512550801,True,sp500_core
ARKB.US,ARKB,etf,2026-03-05,23.64,6996976.0,-0.025556471558120353,-0.029158110882956945,-0.20350404312668458,-0.37871222076215505,-0.18153396599419036,22.51425,26.639199999999995,33.5944755,0.05196158134774993,0.03659979081148844,41.7,21.14,-0.4330935251798561,0.11825922421948909,True,etf_core
AVGO.US,AVGO,stock,2026-03-05,332.74,56975758.0,0.04978546188793542,0.08014932640805061,-0.14734522345223455,-0.07477129271751515,0.7748026456155324,328.5675,334.52700000000004,320.1979,0.025930033757763125,0.028170284385141697,412.97,146.29,-0.19427561324067122,1.2745232073279107,True,sp500_core
BND.US,BND,etf,2026-03-05,74.32,10025685.0,-0.002549993289491459,0.0056833558863327305,0.0016172506738543202,-0.0045539780337530145,0.01253405994550394,74.6675,74.3704,73.915575,0.0026145515089335495,0.002033272324882981,75.17,71.88,-0.011307702540907405,0.03394546466332771,True,etf_core
BRK-B.US,BRK-B,stock,2026-03-05,500.4,8950255.0,0.026503651431853514,-0.006807851854792268,-0.00781219018915813,0.007023404640679409,0.00915581010769162,497.2589999999999,494.43120000000005,492.0247,0.015245973944066488,0.011596077259496386,539.8,459.11,-0.07298999629492398,0.08993487399533873,True,sp500_core
CAT.US,CAT,stock,2026-03-05,706.08,3713180.0,-0.03537030206155989,0.02061229799658859,0.17061524943216688,0.6367935462932914,1.1609181331293037,746.6555000000001,674.566,514.7229500000001,0.026330551409996145,0.023548073489262585,775.0,273.94,-0.08892903225806448,1.5774987223479595,True,sp500_core
COST.US,COST,stock,2026-03-05,981.36,2765032.0,-0.025210084033613467,0.0030766085756630535,0.09688380202977598,0.017670482827277123,-0.053536123139834246,995.552,953.7674000000001,951.236125,0.014105972323348585,0.013223696946033483,1056.85,850.0,-0.07142924729147926,0.15454117647058818,True,sp500_core
CRM.US,CRM,stock,2026-03-05,201.39,15847933.0,0.043039154754505704,0.009777376654632963,-0.22711747323176112,-0.18227221049212283,-0.29912299018584254,190.227,220.75439999999998,245.2778,0.02824662528533017,0.024797674521150694,291.97,178.16,-0.3102373531527213,0.13038841490794795,True,sp500_core
CSCO.US,CSCO,stock,2026-03-05,79.979,26830582.0,-0.010650667986145557,-0.014551503203548477,0.025766320379633223,0.1815482345989068,0.2642902307935504,80.10945,78.05478,71.804495,0.032150035835314845,0.021496601974739005,86.78,53.19,-0.07837059230237386,0.5036473021244596,True,sp500_core
DBC.US,DBC,etf,2026-03-05,26.51,1300775.0,0.014154552410099441,0.09590739975196372,0.13630518645520806,0.19306930693069324,0.2088463292293663,24.674500000000002,23.8926,22.73595,0.012676788545932342,0.013003224396222465,26.51,20.16,0.0,0.31498015873015883,True,etf_core
DGRO.US,DGRO,etf,2026-03-05,72.2441,3092019.0,-0.012789013391637072,-0.01116753353408162,0.03724479540559944,0.06178865373309805,0.15405910543130985,73.512205,71.969282,67.77102049999999,0.0066097208815739245,0.006173730676185904,74.01,55.22,-0.023860289150114844,0.30829590727997114,True,etf_core
DHR.US,DHR,stock,2026-03-05,202.0,4771371.0,-0.013334635861866784,-0.07985241197102899,-0.10718232044198894,0.035048165607706405,-0.01898887863629739,210.9155,223.5074,210.17475,0.012475372351097108,0.015051982057694957,242.05,174.64,-0.16546168147077056,0.15666513971598728,True,sp500_core
DIA.US,DIA,etf,2026-03-05,479.85,8757034.0,-0.016176651494648753,-0.030116220313289532,-0.0003749765639646796,0.03881624523727045,0.12754658458068002,493.454,491.3456,463.28604999999993,0.0095970303095259,0.007864190406140259,501.9,376.48,-0.043933054393305304,0.2745696982575436,True,etf_core
DIS.US,DIS,stock,2026-03-05,102.41,11751327.0,-0.006114130434782705,-0.043344231667445166,-0.027445394112060817,-0.1252989408951145,-0.060544904137235234,105.55049999999999,109.48179999999998,113.1138,0.020177771624790203,0.01860707908256863,124.01,81.72,-0.1741795016530926,0.2531815956926089,True,sp500_core
FBTC.US,FBTC,etf,2026-03-05,62.03,4830734.0,-0.025910804020100486,-0.029264475743348894,-0.20341594965968923,-0.3791412271043939,-0.18284810960347775,59.07925,69.90769999999999,88.18372500000001,0.05207507921795995,0.03674920275372632,109.44,55.45,-0.43320540935672514,0.11866546438232639,True,etf_core
GE.US,GE,stock,2026-03-05,326.99,4825158.0,-0.03772696506871487,0.06048517869883896,0.1516165387053603,0.1613510441824122,0.6450671630527745,329.71950000000004,319.4582,288.07505000000003,0.02096111047152091,0.021218045015045314,345.74,166.81,-0.05423150344189276,0.9602541814039927,True,sp500_core
GLD.US,GLD,etf,2026-03-05,466.22,11604086.0,-0.01182704535820256,0.02698416194902742,0.20644860780457508,0.3926992472218904,0.7327733591020591,466.48850000000004,444.9232,365.76875,0.022602665322221608,0.024132166955000447,495.9,266.04,-0.05985077636620273,0.7524432416178017,True,etf_core
GOOG.US,GOOG,stock,2026-03-05,300.88,22598764.0,-0.007717169052173456,-0.09737805243895115,-0.06585115961377253,0.24960544895755454,0.7431203290655233,310.882,320.4514,253.10140000000004,0.014136969660040686,0.013868547536840884,344.9,146.58,-0.1276311974485358,1.0526674853322415,True,sp500_core
GOOGL.US,GOOGL,stock,2026-03-05,300.845,35686486.0,-0.007210507210506978,-0.09667006966130187,-0.0635758085099759,0.25159129675084246,0.760150947811842,310.71124999999995,320.0039,252.39447499999997,0.014727930700515016,0.013994351092847168,343.69,144.7,-0.12466175914341404,1.0790946786454736,True,sp500_core
HD.US,HD,stock,2026-03-05,361.68,4752105.0,-0.020129500690850954,-0.06590909090909092,0.01993739601252087,-0.14581266827263717,-0.052399916160134175,379.9455,371.9454,376.73440000000005,0.0143178759514097,0.014119986429336545,423.42,332.38,-0.14581266827263717,0.0881521150490403,True,sp500_core
HDV.US,HDV,etf,2026-03-05,136.495,833589.0,-0.010332076566125115,0.0065260673991593965,0.1164321936855881,0.10584946933484574,0.14817462987886953,138.18024999999997,130.9387,122.926825,0.006942187758453529,0.007128294581292707,140.18,108.41,-0.026287630189755995,0.2590628170832949,True,etf_core
HON.US,HON,stock,2026-03-05,238.38,4308080.0,-0.030896820879746323,0.012874442319948942,0.245910207494904,0.17468499145029592,0.22854124255933206,241.87599999999998,223.5544,208.91731500000003,0.012423313568437497,0.013775628747386645,248.04,170.583,-0.03894533139816159,0.3974428870403264,True,sp500_core
HYG.US,HYG,etf,2026-03-05,80.06,79841021.0,-0.004228855721393088,-0.006946167204167741,-0.008544891640866803,-0.012092793682132341,0.0060316662478010485,80.713,80.8176,80.49675,0.002165975517058123,0.0018686742578098246,81.32,75.75,-0.015494343334972793,0.05689768976897702,True,etf_core
IBIT.US,IBIT,etf,2026-03-05,40.39,61023183.0,-0.025455422849559706,-0.02838585518402692,-0.20319589662655346,-0.3789020452099031,-0.18222312208949176,38.454,45.50299999999999,57.408100000000005,0.051849573025135515,0.036697008545051965,71.29,36.1,-0.4334408752980783,0.11883656509695295,True,etf_core
IBM.US,IBM,stock,2026-03-05,256.55,9894429.0,0.02595377109493735,-0.11243729458571183,-0.16688315905695905,-0.0017898136259288933,0.01319063228150541,258.393,283.6612,279.67404999999997,0.039394996770509096,0.0283388761962828,314.98,221.03,-0.18550384151374688,0.16070216712663443,True,sp500_core
IEF.US,IEF,etf,2026-03-05,96.51,12599604.0,-0.0030988534242329946,0.010470107842110776,0.000414636674613833,-0.007711289327575588,0.014933221158902166,96.9325,96.4262,95.97505000000001,0.003590009219974655,0.002769638560995081,97.99,93.15,-0.015103581998162974,0.03607085346215788,True,etf_core
INTC.US,INTC,stock,2026-03-05,45.91,78017600.0,0.007682177348551145,-0.05534979423868325,0.10866940352571852,0.8655018285249898,1.1523675574308485,46.29600000000001,44.89,32.8123,0.032213026024384646,0.04523209385895864,54.32,18.13,-0.15482326951399128,1.5322669608383892,True,sp500_core
IVV.US,IVV,etf,2026-03-05,684.46,6998881.0,-0.005550066833265421,-0.007007210317863222,-0.006747834162905697,0.035570012860276945,0.18069379517344886,689.2825,691.3682000000001,659.0791,0.008357077690953101,0.0069570105172701915,698.7,498.8,-0.02038070702733652,0.3722133119486768,True,etf_core
IWM.US,IWM,etf,2026-03-05,256.78,59812855.0,-0.019025061124694487,-0.014355903577460527,0.023966184152809156,0.06636212624584692,0.24396860769305295,262.74850000000004,260.46366,238.850065,0.014220855766018205,0.01113059031133496,269.79,174.82,-0.04822269172319227,0.4688250772222857,True,etf_core
JPM.US,JPM,stock,2026-03-05,293.55,12717833.0,-0.019506329536724598,-0.07476282031077619,-0.06821356018283398,-0.03930488283806777,0.17302697302697312,305.95799999999997,312.0112,300.01015,0.018786634503958746,0.01739742168850911,334.61,210.28,-0.12271002062102154,0.3959958151036713,True,sp500_core
KO.US,KO,stock,2026-03-05,77.03,23146699.0,-0.013700384122919296,-0.0041370394311569525,0.10042857142857153,0.13916001183081916,0.0974497791708222,79.24499999999999,74.5402,70.81445,0.011840251781894625,0.0107923174786178,81.56,65.67,-0.055541932319764564,0.17298614283538916,True,sp500_core
LIN.US,LIN,stock,2026-03-05,490.0,3784916.0,-0.018095104502735215,0.03521855787716821,0.2263182921640765,0.013255030087470754,0.06210035764603883,485.8665,459.1598,455.8877,0.015067316257919103,0.012081726418929836,509.34,389.38,-0.03797070718969642,0.25841080692382756,True,sp500_core
