source_ticker,ticker,asset_type,date,close,volume,ret_1d,ret_20d,ret_60d,ret_120d,ret_252d,ma_20,ma_50,ma_200,volatility_20d,volatility_60d,rolling_high_252d,rolling_low_252d,dist_from_52w_high,dist_from_52w_low,is_active,source
AAPL.US,AAPL,stock,2011-03-07,10.6582,649344732.0,,,,,,,,,,,,,,,True,sp500_core
VOO.US,VOO,etf,2011-03-11,92.5342,173753.36915652,0.006537355384126808,,,,,,,,,,,,,,True,etf_core
QQQ.US,QQQ,etf,2011-03-18,47.9902,107663014.0,-0.0008723332937764505,,,,,,,,,,,,,,True,etf_core
LOW.US,LOW,stock,2011-03-25,22.0313,11667166.523358,-0.0032664510145451464,,,,,,,,,,,,,,True,sp500_core
GLD.US,GLD,etf,2011-04-01,139.2,15739369.0,-0.004719004719004882,,,,,138.634,,,,,,,,,True,etf_core
ACN.US,ACN,stock,2011-04-08,43.5497,3194141.4307999,0.004806028416248775,0.06838705562274772,,,,41.66546,,,0.015936619570489058,,,,,,True,sp500_core
USO.US,USO,etf,2011-04-14,346.24,1232580.0,0.012397660818713518,0.06365200294912765,,,,340.756,,,0.01569048784212449,,,,,,True,etf_core
NFLX.US,NFLX,stock,2011-04-21,3.6031,369369000.0,0.0318451272945961,0.10075459016894261,,,,3.4034600000000004,,,0.01833867583611059,,,,,,True,sp500_core
HD.US,HD,stock,2011-04-29,28.4169,20841063.522452,-0.008419928676609234,0.0026038083343036256,,,,28.774710000000006,,,0.006828106152622969,,,,,,True,sp500_core
ADBE.US,ADBE,stock,2011-05-06,33.4,4903024.0,0.013964784456587775,-0.03132250580046403,,,,33.726,,,0.009206404978596724,,,,,,True,sp500_core
USO.US,USO,etf,2011-05-12,314.24,3778352.0,-0.0017789072426938057,-0.08116959064327478,,,,342.664,,,0.028173199706934885,,,,,,True,etf_core
NFLX.US,NFLX,stock,2011-05-19,3.4676,237435100.0,0.0007792432682038886,-0.006958962169592464,,,,3.399635,3.3213,,0.028057490308310284,,,,,,True,sp500_core
HD.US,HD,stock,2011-05-26,27.6788,10540448.752175,-0.01208534696295871,-0.0341752098875715,,,,28.347545000000004,28.473536,,0.005936814412861635,,,,,,True,sp500_core
ADBE.US,ADBE,stock,2011-06-03,33.27,3929928.0,-0.028896672504378107,0.010018214936247993,-0.05294619982920579,,,34.561,34.0032,,0.01600210788065054,0.014432892361373111,,,,,True,sp500_core
V.US,V,stock,2011-06-09,17.273,35482425.0,-0.0035535864686810914,-0.03467739682007431,0.07548908509022079,,,17.8669,17.620060000000002,,0.015856171258774275,0.012119213357427952,,,,,True,sp500_core
NFLX.US,NFLX,stock,2011-06-16,3.5614,393761550.0,-0.03041028014483671,0.027850731622846236,0.1260631738704272,,,3.7069649999999994,3.516472,,0.019432107833952963,0.02215238129425881,,,,,True,sp500_core
HDV.US,HDV,etf,2011-06-23,34.9015,108298.62905502,-0.006761698506791647,-0.024533738781921444,,,,35.2464,35.422652,,0.006972016694291227,,,,,,True,etf_core
ADBE.US,ADBE,stock,2011-06-30,31.45,5519674.0,0.009630818619582593,-0.08201984821949793,-0.07987126974839087,,,31.453000000000003,33.0992,,0.022709717159122143,0.016250908096939177,,,,,True,sp500_core
V.US,V,stock,2011-07-07,20.3707,53680631.0,0.021958561179952873,0.17514681619420136,0.16211421073649368,,,17.774620000000002,17.841445999999998,,0.03733697764178735,0.02417355909898164,,,,,True,sp500_core
NVDA.US,NVDA,stock,2011-07-14,0.322788,1187384347.0,-0.039827233867873124,-0.16049279968374253,-0.22177190897189547,,,0.3565582,0.39607576,,0.02008125888566441,0.025375005016097695,,,,,True,sp500_core
HDV.US,HDV,etf,2011-07-21,35.7793,41914.822334335,0.013038381824976852,0.01821902097663286,0.013207638001976552,,,35.380715,35.469843999999995,,0.006390710624558257,0.007241570332145475,,,,,True,etf_core
AGG.US,AGG,etf,2011-07-28,84.9288,1042589.9502305,0.0020565279719662044,0.010702193872389909,0.017963540736496864,,,84.70519,84.54954,,0.0023278415071894356,0.0020274160824733053,,,,,True,etf_core
V.US,V,stock,2011-08-03,19.7667,39060968.0,0.046665678248805964,-0.008342948878743761,0.09730872997368678,,,19.882309999999997,18.588516000000002,,0.016611178661102944,0.025239569949856717,,,,,True,sp500_core
NVDA.US,NVDA,stock,2011-08-10,0.283009,1242144645.0,-0.04549762393802337,-0.15815478155852425,-0.30264837347289775,,,0.3186538,0.35338858,,0.04367025475565174,0.029718706636850944,,,,,True,sp500_core
HDV.US,HDV,etf,2011-08-17,33.7939,352043.36272499,0.006019344064158716,-0.04317530606928899,-0.0550253483475337,,,33.920225,34.718942,,0.019608372165818077,0.012265292600281306,,,,,True,etf_core
AGG.US,AGG,etf,2011-08-24,86.3288,837393.83015744,-0.0056198864964920325,0.018574824935549294,0.022925800412351593,,,86.39063,85.341628,,0.004839661742107916,0.003344291324169786,,,,,True,etf_core
VOO.US,VOO,etf,2011-08-30,86.7242,166444.83892248,0.0018957926342504372,-0.03239511891970903,-0.05410596510439558,-0.056660705816832246,,84.041895,89.850138,,0.030240536705222486,0.019057406522425588,,,,,True,etf_core
NVDA.US,NVDA,stock,2011-09-07,0.326691,1750448046.0,0.08108170714354279,0.10182833668916258,-0.16177195053112325,-0.2021964013597468,,0.29707714999999996,0.31871006,,0.0477389495902712,0.03842261245553481,,,,,True,sp500_core
HON.US,HON,stock,2011-09-14,31.6335,7134810.0,0.018844771389185944,-0.0064044174461481695,-0.18945407585439966,-0.203172348127045,,31.464454999999997,34.65906,,0.028041004819825056,0.02751876822122089,,,,,True,sp500_core
AGG.US,AGG,etf,2011-09-21,87.6771,1565827.1517584,0.0015581323887059462,0.009910535645791585,0.03605270714354081,0.06820510508790911,,87.09633,86.34448200000001,,0.0023403322347039708,0.0033151122123167127,,,,,True,etf_core
VOO.US,VOO,etf,2011-09-27,84.3103,786814.49990967,0.011534645328252546,-0.025991189936240944,-0.1180211356156674,-0.11180512245689145,,84.69906,86.404664,,0.01749477881682523,0.020719647468604406,,,,,True,etf_core
ORCL.US,ORCL,stock,2011-10-04,24.3613,59190784.926822,0.02685010727397641,0.08285438697088088,-0.13433753349110578,-0.14733275698530313,,24.185785,23.850724,,0.028027918377085393,0.029883020410563708,,,,,True,sp500_core
HON.US,HON,stock,2011-10-11,32.9994,5915068.0,0.004480674049226474,0.06283737648316823,-0.15654329823126467,-0.1831265533254779,,31.350149999999996,31.665028000000003,,0.02764210974296913,0.030708372835557936,,,,,True,sp500_core
AMD.US,AMD,stock,2011-10-18,4.83,21307040.0,0.03426124197002145,-0.2833827893175074,-0.3669724770642202,-0.4674751929437707,,5.2940000000000005,6.0329999999999995,,0.048191934056862416,0.04244954713676912,,,,,True,sp500_core
VOO.US,VOO,etf,2011-10-24,90.062,176497.97992524,0.012686979176622648,0.0805421547254972,-0.023823975720789203,-0.05935950969968273,,84.960905,84.58688599999999,,0.01782960012227209,0.022591376233442026,,,,,True,etf_core
LQD.US,LQD,etf,2011-10-31,83.9144,1685425.2362198,0.0024106287464491505,0.023296424564655416,0.026357825522203004,0.056521104133197,,82.27795499999999,82.053946,,0.003258878225406713,0.005337261184983996,,,,,True,etf_core
BND.US,BND,etf,2011-11-07,64.4673,2690697.8912121,0.00027618523029659947,0.014025821227011459,0.013033113914820982,0.0487723139843792,,63.91623499999999,63.93556400000001,,0.0030133467406550426,0.002828428951489622,,,,,True,etf_core
TSLA.US,TSLA,stock,2011-11-11,2.24267,58024140.0,0.07373113033653,0.19928877005347578,0.38664960150371286,0.258986263073097,,1.9759999999999998,1.8021196000000002,,0.03943995335935396,0.034701042944310576,,,,,True,sp500_core
IVV.US,IVV,etf,2011-11-18,98.8897,3101962.3946689,-0.0015034542087630776,-0.01599351224414658,0.05459623633094535,-0.06595039292730842,,101.426795,97.925386,,0.018390174094519093,0.018061503345878294,,,,,True,etf_core
AAPL.US,AAPL,stock,2011-11-28,11.28,412238027.0,0.034425838636905404,-0.07115389366029601,-0.012803794754207454,0.13209365064071688,,11.59235,11.806024,,0.017736586954031394,0.018985324173053625,,,,,True,sp500_core
SCHD.US,SCHD,etf,2011-12-02,5.72702,1326891.1294907,-0.002360392783294918,0.006242653505496909,,,,5.622238,,,0.01571376449468229,,,,,,True,etf_core
GOOGL.US,GOOGL,stock,2011-12-09,15.6288,111128517.0,0.018474712126840043,0.054347239462464225,0.15640399556048834,0.27265176499328203,,15.01865,14.519312,,0.018347150766857875,0.018853257863323303,,,,,True,sp500_core
XLF.US,XLF,etf,2011-12-15,8.29241,93387601.951159,0.0006093617267743934,-0.011128428890508024,0.05624359145824975,-0.15347983029600198,,8.299017,8.454803400000001,,0.022990704920013497,0.027723785918647718,,,,,True,etf_core
ORCL.US,ORCL,stock,2011-12-22,21.8613,51924468.31457,-0.0030735976140856547,-0.11410938031867468,-0.12586268943180456,-0.21987731462482474,,25.5139,26.512408,26.557032500000002,0.03484550773586355,0.02738719177214729,,,,,True,sp500_core
CSCO.US,CSCO,stock,2011-12-30,12.9825,28935178.968439,-0.00951385498046875,-0.026864754251961998,0.11891095252869999,0.16321264414160153,,13.183779999999999,13.081146,11.962957249999999,0.017741827661264514,0.021324813880355092,,,,,True,sp500_core
V.US,V,stock,2012-01-06,22.8487,14421404.0,-0.01187546760194258,0.0372194581638583,0.11512013235789342,0.1480316543147846,,22.612720000000003,21.751354000000003,19.480439,0.014277426899926463,0.018842354256831756,,,,,True,sp500_core
LLY.US,LLY,stock,2012-01-13,29.9013,5904304.0344209,-0.006026739709998452,-0.0025152868728045563,0.051374462908136964,0.06898783051380697,,30.593529999999998,29.128574,27.664870499999996,0.012112363555785603,0.014494482883959447,,,,,True,sp500_core
AGG.US,AGG,etf,2012-01-23,88.0993,1022127.2794009,-0.0008347235942108844,0.0017214737361550547,0.008836839670390617,0.028528165667900618,,88.30279,87.90478999999999,86.06959799999998,0.0017301530334605858,0.0018928844279611106,,,,,True,etf_core
SLV.US,SLV,etf,2012-01-27,32.96,15488542.0,0.016342892383595542,0.2546631138180435,-0.014943215780035879,-0.11682743837084675,,29.6065,30.008399999999998,34.81125,0.023307067553245298,0.026547579730836067,,,,,True,etf_core
HON.US,HON,stock,2012-02-03,42.6003,8059352.0,0.02887097903871272,0.09257031768951207,0.1332730344102897,0.3140494338214199,,40.448589999999996,38.660088,37.116197,0.010960524274642969,0.017222989566555554,,,,,True,sp500_core
XLP.US,XLP,etf,2012-02-09,24.5472,7955765.0114868,0.005414704075363597,0.015505287021561731,0.047423173094155,0.11854258465211864,,24.29134,24.104858,23.162426999999997,0.004496094427449134,0.007271865207174918,,,,,True,etf_core
ORCL.US,ORCL,stock,2012-02-16,24.6891,42657230.945871,0.03461844696810967,0.013705435777839003,-0.05180505415162462,0.12253796489951796,,24.395464999999998,24.048009999999998,25.705419000000003,0.012085269936567793,0.022593388463225627,,,,,True,sp500_core
DBC.US,DBC,etf,2012-02-24,28.842,5134697.0,0.006069485140226094,0.05656092021393522,0.10046167347094515,-0.00903624806734249,,27.773199999999996,26.974520000000002,27.6347,0.006110838443737877,0.009642774542934437,,,,,True,etf_core
V.US,V,stock,2012-03-01,26.6391,12287883.0,0.007130299994329015,0.14527515047291484,0.20767881186502923,0.34553820821189896,,25.756705,24.071016,20.787722500000005,0.015070729605219551,0.014017200724952985,,,,,True,sp500_core
LOW.US,LOW,stock,2012-03-08,24.3217,26691155.583401,0.01695503466269721,0.09224613339560617,0.182013461959031,0.48633849726525513,0.11939192547727329,22.95476,22.325438000000005,19.070806,0.013988255190097533,0.01451647347256668,24.3217,14.8227,0.0,0.6408414121583788,True,sp500_core
AMD.US,AMD,stock,2012-03-15,8.25,27157794.0,0.06314432989690721,0.13013698630136994,0.6081871345029239,0.3480392156862744,0.016009852216748888,7.447500000000001,6.869199999999999,6.33755,0.029129941406234084,0.026148714467117508,9.1,4.53,-0.09340659340659341,0.8211920529801324,True,sp500_core
SPGI.US,SPGI,stock,2012-03-21,41.2635,1720295.6662469,-0.002759940741027145,0.036724469747599464,0.0688807493446344,0.10641726572408428,0.25239774672510285,40.817165,40.423632000000005,37.484148999999995,0.007439023025726061,0.010727188772038697,41.6021,30.3908,-0.008139012213325802,0.35776287560709163,True,sp500_core
HYG.US,HYG,etf,2012-03-28,56.1808,4536851.3703116,-0.003257375222658343,-0.00745020096285498,0.028170895747737568,0.14148480310785017,0.06525696256295133,56.104595,55.827284,53.2422135,0.0049650541934484135,0.0037726224203590533,56.7038,48.6229,-0.009223367746077016,0.15543910379677062,True,etf_core
XLP.US,XLP,etf,2012-04-03,25.7956,5907206.3197941,-0.005551357769587706,0.03801471978882054,0.06780474881610754,0.13671055646625407,0.1664089277155285,25.44557,24.927218000000003,23.517143500000003,0.0036692126792800266,0.003988687293258991,25.9396,20.9546,-0.005551357769587706,0.23102325980930205,True,etf_core
